Date,Price,Open,High,Low,Vol.,Change %
30-10-2023,626.57,641.82,641.82,619.94,12.79M,-1.96%
31-10-2023,626.72,640.03,640.03,625.37,11.40M,0.02%
01-11-2023,416.91,414.47,418.71,412.28,22.22M,1.28%
04-11-2023,457.29,462.32,462.32,454.4,14.50M,-0.56%
05-11-2023,510.03,510.42,512.57,503.95,11.45M,0.41%
07-11-2023,626.57,623.03,628.51,620.24,12.05M,1.59%
08-11-2023,609.92,617.84,622.83,608.12,9.35M,-1.04%
09-11-2023,632.9,632.7,633.45,628.56,8.78M,1.21%
10-11-2023,632.05,631.05,635.84,630.65,7.70M,0.55%
12-11-2023,718.58,715.59,724.27,714.35,6.40M,0.87%
13-11-2023,651.24,650.99,651.99,647.3,3.28M,-0.35%
15-11-2023,669.48,657.97,671.43,654.53,11.32M,2.80%
16-11-2023,678.31,671.93,683.39,668.84,17.50M,1.32%
17-11-2023,679.45,680.4,685.53,677.51,9.56M,0.17%
20-11-2023,672.23,679.9,684.64,668.64,8.32M,-1.06%
21-11-2023,679.6,674.92,681.2,672.92,7.29M,1.10%
22-11-2023,679.1,681.85,685.24,673.97,9.28M,-0.07%
23-11-2023,677.86,681.1,683.79,674.97,5.89M,-0.18%
24-11-2023,671.63,679.3,679.85,669.18,6.95M,-0.92%
28-11-2023,695.35,675.37,697.3,672.18,16.02M,3.53%
29-11-2023,710.16,700.59,712.2,692.21,16.12M,2.13%
30-11-2023,704.23,714.1,715.04,694.86,24.28M,-0.84%
01-12-2023,410.98,419.01,419.21,408.79,12.48M,-1.42%
04-12-2023,464.07,457.94,467.16,456.79,13.55M,1.48%
05-12-2023,514.36,512.32,518.9,508.73,19.77M,0.85%
06-12-2023,562.41,565.26,567.15,558.92,7.60M,0.33%
07-12-2023,619.54,628.01,628.86,617.45,10.79M,-1.12%
09-12-2023,618.89,636.04,637.03,613.36,12.54M,-2.21%
10-12-2023,634.99,635.04,638.23,633.1,5.93M,0.47%
11-12-2023,653.55,657.95,657.95,652.7,2.24M,0.69%
12-12-2023,713.2,722.57,722.57,710.81,6.46M,-0.75%
13-12-2023,718.08,713.8,719.23,711.3,5.81M,0.68%
14-12-2023,717.54,721.77,722.47,716.39,6.73M,-0.08%
15-12-2023,730.15,721.67,731.74,719.03,12.08M,1.76%
18-12-2023,728.55,730.65,732.49,725.86,5.45M,-0.22%
19-12-2023,726.71,730.35,730.35,723.77,4.51M,-0.25%
20-12-2023,703.08,728.7,730.74,700.89,8.11M,-3.25%
21-12-2023,706.67,700.84,709.71,694.11,7.70M,0.51%
22-12-2023,722.47,714.59,728.75,709.81,12.06M,2.24%
26-12-2023,717.34,725.16,725.26,714.4,7.23M,-0.71%
27-12-2023,738.62,725.76,739.57,722.92,15.05M,2.97%
28-12-2023,751.58,740.37,755.62,736.78,14.91M,1.75%
29-12-2023,777.55,752.68,800.43,751.68,41.17M,3.46%
01-01-2024,788.17,782.59,796.24,778.65,12.57M,1.37%
02-01-2024,875.8,897.23,897.38,873.6,14.51M,-0.64%
03-01-2024,974.39,956,977.38,953.76,10.65M,2.86%
04-01-2024,989.2,996.92,"1,006.74",984.41,8.63M,-0.06%
07-01-2024,"1,002.05",989.75,"1,005.50",985.2,14.01M,1.24%
08-01-2024,"1,144.40","1,167.00","1,176.00","1,136.50",14.38M,-1.06%
